"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 24 22:11:18 GET 2023","Thu Aug 24 22:11:24 GET 2023","5633","","Todo task","","","","Task name removing",""
"passed","Thu Aug 24 22:11:07 GET 2023","Thu Aug 24 22:11:13 GET 2023","5634","","Todo task","","","","Long name task adding (more than 256 symbols)",""
"passed","Thu Aug 24 22:10:55 GET 2023","Thu Aug 24 22:10:56 GET 2023","367","","Todo task","","","","Empty task adding",""
"passed","Thu Aug 24 22:10:46 GET 2023","Thu Aug 24 22:10:48 GET 2023","1795","","Todo task","","","","5 tasks adding and 5 tasks removing using 'X'",""
"passed","Thu Aug 24 22:10:49 GET 2023","Thu Aug 24 22:10:55 GET 2023","5444","","Todo task","","","","2 tasks adding and 1 task removing using 'Clear completed'",""
"passed","Thu Aug 24 22:10:56 GET 2023","Thu Aug 24 22:11:01 GET 2023","5337","","Todo task","","","","Task adding with already added name",""
"passed","Thu Aug 24 22:11:24 GET 2023","Thu Aug 24 22:11:24 GET 2023","1","","Todo task","","","","""after each"" hook for Todo task",""
"passed","Thu Aug 24 22:11:01 GET 2023","Thu Aug 24 22:11:07 GET 2023","5987","","Todo task","","","","Task adding with the same name as deleted task has",""
"passed","Thu Aug 24 22:10:55 GET 2023","Thu Aug 24 22:10:55 GET 2023","737","","Todo task","","","","Edit verification",""
"passed","Thu Aug 24 22:10:45 GET 2023","Thu Aug 24 22:10:46 GET 2023","334","","Todo task","","","","Selected element verification",""
"passed","Thu Aug 24 22:10:44 GET 2023","Thu Aug 24 22:10:45 GET 2023","1597","","Todo task","","","","""before all"" hook for Todo task",""
"passed","Thu Aug 24 22:11:18 GET 2023","Thu Aug 24 22:11:18 GET 2023","217","","Todo task","","","","""before each"" hook for Todo task",""
"passed","Thu Aug 24 22:10:48 GET 2023","Thu Aug 24 22:10:49 GET 2023","956","","Todo task","","","","5 tasks adding and 5 tasks removing using 'Clear completed'",""
"passed","Thu Aug 24 22:10:46 GET 2023","Thu Aug 24 22:10:46 GET 2023","656","","Todo task","","","","1 task adding and 1 task removing using 'X'",""
"passed","Thu Aug 24 22:11:13 GET 2023","Thu Aug 24 22:11:18 GET 2023","5549","","Todo task","","","","Long name task adding (special symbols and not Latin letters)",""
